origen,origen_lat,origen_lon,destino,destino_lat,destino_lon,poblacion_total
29 Tlaxcala,19.428889,-98.160833,33 Colima,19.096667,-103.960833,342
18 Nayarit,21.743889,-105.228333,20 Campeche,18.836389,-90.403333,338
40 Durango,24.934722,-104.911944,38 Tlaxcala,19.428889,-98.160833,338
01 Aguascalientes,21.880833,-102.296111,20 Oaxaca,16.898056,-96.414167,333
22 Querétaro,20.591,-100.391,24 Campeche,18.836389,-90.403333,324
53 Quintana Roo,19.6,-87.916667,46 San Luis PotosÃ­,22.603333,-100.429722,323
59 Tlaxcala,19.428889,-98.160833,60 Zacatecas,23.292778,-102.700556,322
03 Baja California Sur,25.846111,-111.972778,30 Tamaulipas,24.287222,-98.563333,310
01 Aguascalientes,21.880833,-102.296111,12 Guerrero,17.613056,-99.95,304
06 Colima,19.096667,-103.960833,8 Campeche,18.836389,-90.403333,296
23 Quintana Roo,19.6,-87.916667,31 Durango,24.934722,-104.911944,296
31 Yucatán,20.833333,-89,35 Colima,19.096667,-103.960833,294
06 Colima,19.096667,-103.960833,15 Durango,24.934722,-104.911944,290
06 Colima,19.096667,-103.960833,32 Tabasco,17.972222,-92.588889,290
01 Aguascalientes,21.880833,-102.296111,29 Tlaxcala,19.428889,-98.160833,288
01 Aguascalientes,21.880833,-102.296111,07 Chiapas,16.41,-92.408611,285
34 Campeche,18.836389,-90.403333,9 Colima,19.096667,-103.960833,266
03 Baja California Sur,25.846111,-111.972778,15 Hidalgo,20.478333,-98.863611,266
23 Quintana Roo,19.6,-87.916667,22 Aguascalientes,21.880833,-102.296111,261
53 Quintana Roo,19.6,-87.916667,51 Tlaxcala,19.428889,-98.160833,259
31 YucatÃ¡n,20.833333,-89,58 Tlaxcala,19.428889,-98.160833,259
04 Campeche,18.836389,-90.403333,13 Durango,24.934722,-104.911944,252
03 Baja California Sur,25.846111,-111.972778,19 Morelos,18.7475,-99.070278,251
03 Baja California Sur,25.846111,-111.972778,26 San Luis PotosÃ­,22.603333,-100.429722,246
29 Tlaxcala,19.428889,-98.160833,37 Durango,24.934722,-104.911944,245
